latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
13.687,105.034,319.8,2.2,1.4,2019-01-22,0310,T,68,6.0NRT,296.6,29.3,D
13.69,105.009,314.7,2.2,1.4,2019-01-22,0310,T,37,6.0NRT,293.7,18.8,D
13.688,105.028,324.8,2.2,1.4,2019-01-22,0310,T,76,6.0NRT,296.1,46.2,D
13.554,105.794,315.4,1.9,1.4,2019-01-22,0310,T,50,6.0NRT,297.2,12.1,D
13.689,104.581,319.4,2.4,1.5,2019-01-22,0310,T,68,6.0NRT,298.6,28.1,D
13.498,106.149,320,1.8,1.3,2019-01-22,0310,T,58,6.0NRT,296.4,18.8,D
13.462,106.244,333.6,1.8,1.3,2019-01-22,0310,T,84,6.0NRT,297.4,57.8,D
13.46,106.26,355.5,1.8,1.3,2019-01-22,0310,T,97,6.0NRT,300.4,150.7,D
13.376,106.929,320.7,1.6,1.2,2019-01-22,0310,T,52,6.0NRT,298.5,16,D
13.448,106.259,325.9,1.8,1.3,2019-01-22,0310,T,70,6.0NRT,298.8,34.7,D
13.365,106.928,324.6,1.6,1.2,2019-01-22,0310,T,75,6.0NRT,297.8,23.9,D
13.452,106.253,357.8,1.8,1.3,2019-01-22,0310,T,99,6.0NRT,299.7,165,D
13.45,106.269,324.7,1.8,1.3,2019-01-22,0310,T,75,6.0NRT,298.9,29.2,D
13.349,107.035,316.4,1.5,1.2,2019-01-22,0310,T,57,6.0NRT,297.9,9.4,D
13.41,105.063,321.9,2.2,1.4,2019-01-22,0310,T,73,6.0NRT,292.9,32.1,D
13.411,105.056,316.5,2.2,1.4,2019-01-22,0310,T,55,6.0NRT,293.4,16.6,D
13.398,105.054,315.7,2.2,1.4,2019-01-22,0310,T,44,6.0NRT,293.3,14,D
13.558,103.362,315.6,3,1.6,2019-01-22,0310,T,64,6.0NRT,292.6,33.3,D
13.393,104.657,325.2,2.3,1.5,2019-01-22,0310,T,78,6.0NRT,297,46.9,D
13.391,104.678,317.1,2.3,1.5,2019-01-22,0310,T,65,6.0NRT,296.9,19.1,D
13.11,106.683,316,1.6,1.3,2019-01-22,0310,T,51,6.0NRT,299.3,9.3,D
13.115,106.555,316.9,1.7,1.3,2019-01-22,0310,T,63,6.0NRT,297.4,10,D
13.135,106.307,320.8,1.7,1.3,2019-01-22,0310,T,71,6.0NRT,300.4,14.5,D
12.913,106.881,335.7,1.6,1.2,2019-01-22,0310,T,87,6.0NRT,303,51.1,D
12.912,106.874,327.8,1.6,1.2,2019-01-22,0310,T,81,6.0NRT,302.4,30.2,D
12.91,106.889,323.4,1.6,1.2,2019-01-22,0310,T,76,6.0NRT,303.1,21.3,D
12.894,106.843,316.6,1.6,1.2,2019-01-22,0310,T,66,6.0NRT,300.1,10.9,D
12.892,106.857,328,1.6,1.2,2019-01-22,0310,T,81,6.0NRT,301.1,32.1,D
12.872,106.752,314.9,1.6,1.2,2019-01-22,0310,T,61,6.0NRT,298.3,10.5,D
12.886,106.373,319.3,1.7,1.3,2019-01-22,0310,T,62,6.0NRT,300.2,14.1,D
12.821,106.871,319.1,1.6,1.2,2019-01-22,0310,T,42,6.0NRT,300.6,14.2,D
12.934,105.931,314.6,1.8,1.3,2019-01-22,0310,T,55,6.0NRT,296,15.5,D
12.925,105.81,323.2,1.9,1.3,2019-01-22,0310,T,76,6.0NRT,291.3,42.2,D
12.735,106.757,315.2,1.6,1.2,2019-01-22,0310,T,53,6.0NRT,297.3,13.3,D
12.734,106.751,314.6,1.6,1.2,2019-01-22,0310,T,53,6.0NRT,297.4,12.4,D
12.759,106.391,319.2,1.7,1.3,2019-01-22,0310,T,71,6.0NRT,300.2,14.5,D
12.875,104.856,328.6,2.2,1.4,2019-01-22,0310,T,82,6.0NRT,294.3,62.5,D
12.872,104.877,319.1,2.2,1.4,2019-01-22,0310,T,58,6.0NRT,292.7,31.3,D
12.876,104.85,315.2,2.2,1.4,2019-01-22,0310,T,20,6.0NRT,293.9,19.7,D
12.874,104.87,325.3,2.2,1.4,2019-01-22,0310,T,79,6.0NRT,293.3,52.3,D
12.522,106.798,316.1,1.6,1.2,2019-01-22,0310,T,60,6.0NRT,297.2,10.2,D
12.514,106.331,320.6,1.7,1.3,2019-01-22,0310,T,74,6.0NRT,300.7,15.2,D
12.512,106.346,325.4,1.7,1.3,2019-01-22,0310,T,79,6.0NRT,301.2,26,D
12.514,106.339,329,1.7,1.3,2019-01-22,0310,T,82,6.0NRT,300.9,35.3,D
12.505,106.323,318.1,1.7,1.3,2019-01-22,0310,T,70,6.0NRT,300.1,11.7,D
12.477,106.443,322.1,1.6,1.3,2019-01-22,0310,T,76,6.0NRT,302.5,18.3,D
12.406,106.464,323,1.6,1.3,2019-01-22,0310,T,77,6.0NRT,300.9,21.1,D
12.407,106.458,325,1.6,1.3,2019-01-22,0310,T,79,6.0NRT,301,25.6,D
12.285,106.783,316.7,1.6,1.2,2019-01-22,0310,T,59,6.0NRT,299.1,12.8,D
12.282,106.79,319.5,1.5,1.2,2019-01-22,0310,T,63,6.0NRT,299.2,17.2,D
12.195,105.803,315.1,1.8,1.3,2019-01-22,0310,T,56,6.0NRT,298.8,16.8,D
12.365,104.006,313,2.5,1.5,2019-01-22,0310,T,52,6.0NRT,292.4,16.2,D
12.351,104.004,314.1,2.5,1.5,2019-01-22,0310,T,59,6.0NRT,292.3,18.4,D
12.358,103.999,318.7,2.5,1.5,2019-01-22,0310,T,72,6.0NRT,292.3,34.8,D
12.021,106.518,321.8,1.6,1.2,2019-01-22,0310,T,60,6.0NRT,301.4,17.5,D
11.639,106.545,308.4,1.6,1.2,2019-01-22,0310,T,54,6.0NRT,285.5,8.4,D
11.699,104.058,312.6,2.4,1.5,2019-01-22,0310,T,63,6.0NRT,287.7,23.2,D
11.335,106.77,310.9,1.5,1.2,2019-01-22,0310,T,58,6.0NRT,291.6,8.1,D
11.197,104.314,318.6,2.3,1.5,2019-01-22,0310,T,74,6.0NRT,298.6,24.2,D
28.657,89.688,301.7,1,1,2019-01-22,0445,T,36,6.0NRT,284.4,7.7,D
27.524,91.7,315.5,1.1,1,2019-01-22,0445,T,60,6.0NRT,292.1,14.1,D
27.043,94.084,309.8,1.4,1.2,2019-01-22,0445,T,60,6.0NRT,296.1,9.4,D
26.793,95.006,307.4,1.6,1.2,2019-01-22,0445,T,57,6.0NRT,290.3,13.4,D
26.79,95.022,373.8,1.6,1.2,2019-01-22,0445,T,100,6.0NRT,294.9,258.4,D
26.786,95.04,319.9,1.6,1.2,2019-01-22,0445,T,80,6.0NRT,291.4,34.4,D
27.229,92.475,307.6,1.1,1.1,2019-01-22,0445,T,61,6.0NRT,287.3,9.2,D
27.218,92.486,325.8,1.1,1.1,2019-01-22,0445,T,84,6.0NRT,291.5,27.9,D
26.738,95.177,350.5,1.6,1.3,2019-01-22,0445,T,96,6.0NRT,291.5,130.7,D
26.735,95.192,377.6,1.6,1.3,2019-01-22,0445,T,94,6.0NRT,293.1,298.7,D
26.736,95.186,380.3,1.6,1.3,2019-01-22,0445,T,100,6.0NRT,295,320.7,D
26.725,95.184,341.8,1.6,1.3,2019-01-22,0445,T,93,6.0NRT,291.3,95.7,D
26.722,95.199,328,1.7,1.3,2019-01-22,0445,T,81,6.0NRT,290.4,53.8,D
26.606,93.168,306.9,1.3,1.1,2019-01-22,0445,T,55,6.0NRT,293.6,7.5,D
26.899,91.322,325.3,1,1,2019-01-22,0445,T,84,6.0NRT,290.1,26.5,D
25.523,93.943,300,1.4,1.2,2019-01-22,0445,T,14,6.0NRT,289.6,7.7,D
25.451,91.973,308.7,1.1,1.1,2019-01-22,0445,T,60,6.0NRT,293.9,7.4,D
25.447,91.966,305.1,1.1,1.1,2019-01-22,0445,T,43,6.0NRT,293.6,6.3,D
23.617,95.597,309.8,2,1.4,2019-01-22,0445,T,52,6.0NRT,298.1,14.9,D
22.505,95.589,310.2,2.1,1.4,2019-01-22,0445,T,68,6.0NRT,298.6,12,D
20.73,95.522,312.7,2.3,1.5,2019-01-22,0445,T,69,6.0NRT,301.2,14.5,D
20.733,95.516,312.8,2.3,1.5,2019-01-22,0445,T,69,6.0NRT,301.2,16.4,D
20.734,93.134,313,1.6,1.2,2019-01-22,0445,T,39,6.0NRT,300.8,12.5,D
19.662,95.021,307.6,2.2,1.4,2019-01-22,0445,T,52,6.0NRT,295.4,8.2,D
9.948,105.956,320,1.2,1.1,2019-01-22,0615,A,53,6.0NRT,299.6,11.8,D
10.017,105.085,314.4,1.4,1.2,2019-01-22,0615,A,0,6.0NRT,299.2,10,D
10.656,107.651,317.1,1,1,2019-01-22,0615,A,65,6.0NRT,299.7,7,D
10.548,105.935,328.5,1.2,1.1,2019-01-22,0615,A,71,6.0NRT,300.3,23,D
10.548,105.869,314.1,1.2,1.1,2019-01-22,0615,A,60,6.0NRT,299.3,6.7,D
10.569,105.943,328.7,1.2,1.1,2019-01-22,0615,A,72,6.0NRT,297.2,22.9,D
10.544,105.78,316.1,1.2,1.1,2019-01-22,0615,A,66,6.0NRT,300.7,8.7,D
10.57,105.887,314.3,1.2,1.1,2019-01-22,0615,A,39,6.0NRT,299,6.1,D
10.556,105.722,312.3,1.2,1.1,2019-01-22,0615,A,24,6.0NRT,294.2,6.5,D
10.588,105.923,319.6,1.2,1.1,2019-01-22,0615,A,70,6.0NRT,300,14,D
10.591,105.812,317,1.2,1.1,2019-01-22,0615,A,57,6.0NRT,298.6,10.7,D
10.623,105.627,316.5,1.2,1.1,2019-01-22,0615,A,45,6.0NRT,301.3,9.8,D
10.632,105.625,317.2,1.2,1.1,2019-01-22,0615,A,60,6.0NRT,300.2,10.8,D
10.691,105.734,322.6,1.2,1.1,2019-01-22,0615,A,73,6.0NRT,300.3,17.5,D
10.584,104.016,313.9,1.6,1.2,2019-01-22,0615,A,34,6.0NRT,298.6,13.9,D
10.965,104.158,324.2,1.5,1.2,2019-01-22,0615,A,75,6.0NRT,300,25.1,D
11.038,104.201,315.3,1.5,1.2,2019-01-22,0615,A,46,6.0NRT,299.7,11.6,D
11.64,106.455,326.7,1.1,1,2019-01-22,0615,A,78,6.0NRT,299.9,17.3,D
11.359,104.044,313.5,1.5,1.2,2019-01-22,0615,A,41,6.0NRT,297.2,14.7,D
11.396,103.993,313.7,1.5,1.2,2019-01-22,0615,A,15,6.0NRT,298,12.6,D
11.655,105.669,319.6,1.2,1.1,2019-01-22,0615,A,52,6.0NRT,303.8,8.5,D
11.397,103.987,315.2,1.5,1.2,2019-01-22,0615,A,45,6.0NRT,298.4,15.3,D
11.776,106.07,325.4,1.1,1.1,2019-01-22,0615,A,73,6.0NRT,307.9,14,D
11.476,103.989,313.8,1.5,1.2,2019-01-22,0615,A,25,6.0NRT,298.8,11.6,D
11.748,105.604,323.4,1.2,1.1,2019-01-22,0615,A,50,6.0NRT,306.1,11.3,D
11.578,104.049,317.3,1.5,1.2,2019-01-22,0615,A,38,6.0NRT,294.2,15,D
11.95,106.321,324,1.1,1,2019-01-22,0615,A,63,6.0NRT,301.2,13.4,D
11.688,104.508,323.1,1.4,1.2,2019-01-22,0615,A,64,6.0NRT,306.6,9.7,D
11.667,104.315,319,1.4,1.2,2019-01-22,0615,A,64,6.0NRT,302.7,11,D
11.627,104.063,320.9,1.5,1.2,2019-01-22,0615,A,58,6.0NRT,283.1,23.7,D
11.625,104.05,318.4,1.5,1.2,2019-01-22,0615,A,40,6.0NRT,283.7,19,D
12.081,106.947,321.5,1,1,2019-01-22,0615,A,65,6.0NRT,300.4,13.1,D
11.787,104.55,322.5,1.4,1.2,2019-01-22,0615,A,72,6.0NRT,306,11.4,D
11.623,103.534,334.8,1.6,1.3,2019-01-22,0615,A,86,6.0NRT,292.1,64.1,D
11.79,104.433,324.6,1.4,1.2,2019-01-22,0615,A,66,6.0NRT,306.7,15.2,D
12.163,106.81,323.2,1.1,1,2019-01-22,0615,A,50,6.0NRT,305,6.7,D
11.736,103.954,323.1,1.5,1.2,2019-01-22,0615,A,65,6.0NRT,295.6,22.2,D
11.843,104.566,319.4,1.4,1.2,2019-01-22,0615,A,63,6.0NRT,299.9,8.6,D
12.081,106.066,336,1.1,1.1,2019-01-22,0615,A,86,6.0NRT,302.5,28.6,D
12.079,106.056,352.7,1.1,1.1,2019-01-22,0615,A,96,6.0NRT,304.5,67.5,D
12.085,106.06,365.2,1.1,1.1,2019-01-22,0615,A,100,6.0NRT,306.7,105.1,D
12.083,106.05,341.3,1.1,1.1,2019-01-22,0615,A,89,6.0NRT,305.5,39.4,D
12.136,106.269,318.6,1.1,1,2019-01-22,0615,A,38,6.0NRT,297.7,7.8,D
12.134,106.259,325.4,1.1,1,2019-01-22,0615,A,75,6.0NRT,301.5,15.9,D
11.763,103.901,323.5,1.5,1.2,2019-01-22,0615,A,57,6.0NRT,297.7,26.4,D
11.761,103.887,327.9,1.5,1.2,2019-01-22,0615,A,65,6.0NRT,298.3,35,D
11.867,104.48,324.9,1.4,1.2,2019-01-22,0615,A,67,6.0NRT,305,14.9,D
11.822,104.196,330.8,1.5,1.2,2019-01-22,0615,A,82,6.0NRT,301.8,34.8,D
11.833,104.195,352.2,1.5,1.2,2019-01-22,0615,A,96,6.0NRT,302.6,99.9,D
11.831,104.181,322.6,1.5,1.2,2019-01-22,0615,A,73,6.0NRT,300.4,18.9,D
12.165,106.275,323.9,1.1,1,2019-01-22,0615,A,73,6.0NRT,297.3,14.2,D
12.04,105.45,325.6,1.2,1.1,2019-01-22,0615,A,70,6.0NRT,307.4,14.1,D
12.291,107.057,330.8,1,1,2019-01-22,0615,A,83,6.0NRT,299.7,26.2,D
11.897,104.462,322,1.4,1.2,2019-01-22,0615,A,54,6.0NRT,303.9,11.8,D
12.231,106.587,327.8,1.1,1,2019-01-22,0615,A,79,6.0NRT,305.3,14.3,D
12.23,106.577,323.7,1.1,1,2019-01-22,0615,A,74,6.0NRT,305.9,9.3,D
11.761,103.461,343.4,1.6,1.3,2019-01-22,0615,A,92,6.0NRT,295.3,94.8,D
12.361,107.278,326.3,1,1,2019-01-22,0615,A,78,6.0NRT,302.7,17.1,D
11.762,103.469,327.8,1.6,1.3,2019-01-22,0615,A,81,6.0NRT,294.7,45.6,D
11.76,103.455,322.9,1.6,1.3,2019-01-22,0615,A,76,6.0NRT,295.3,33.9,D
12.368,107.201,324.1,1,1,2019-01-22,0615,A,74,6.0NRT,304.9,12,D
12.377,107.2,348,1,1,2019-01-22,0615,A,94,6.0NRT,304.8,48.4,D
12.376,107.19,322.6,1,1,2019-01-22,0615,A,51,6.0NRT,306.2,9.8,D
12.316,106.784,328.3,1.1,1,2019-01-22,0615,A,58,6.0NRT,306.8,16.2,D
12.314,106.775,328.9,1.1,1,2019-01-22,0615,A,72,6.0NRT,307.7,15.9,D
12.303,106.638,341.5,1.1,1,2019-01-22,0615,A,90,6.0NRT,308.7,32.6,D
12.223,106.104,350.4,1.1,1.1,2019-01-22,0615,A,95,6.0NRT,300.9,64,D
12.335,106.791,329.7,1.1,1,2019-01-22,0615,A,76,6.0NRT,303.4,19.4,D
12.334,106.781,333.4,1.1,1,2019-01-22,0615,A,84,6.0NRT,304.8,23.2,D
12.296,106.339,335.5,1.1,1,2019-01-22,0615,A,85,6.0NRT,297.3,30.3,D
12.295,106.329,318.9,1.1,1,2019-01-22,0615,A,49,6.0NRT,294.5,8.6,D
12.137,105.28,325.2,1.2,1.1,2019-01-22,0615,A,75,6.0NRT,309.4,11.5,D
12.381,106.798,326.2,1,1,2019-01-22,0615,A,54,6.0NRT,305,12.9,D
12.02,104.416,317.5,1.4,1.2,2019-01-22,0615,A,45,6.0NRT,297.7,8,D
12.446,106.982,315.5,1,1,2019-01-22,0615,A,48,6.0NRT,300.5,7.5,D
12.42,106.811,325.6,1,1,2019-01-22,0615,A,70,6.0NRT,304.7,12.5,D
12.41,106.744,324.1,1.1,1,2019-01-22,0615,A,61,6.0NRT,307.6,9,D
12.399,106.478,324.8,1.1,1,2019-01-22,0615,A,69,6.0NRT,307.5,8.1,D
12.398,106.469,329.9,1.1,1,2019-01-22,0615,A,80,6.0NRT,307.5,14.8,D
12.376,106.151,318.6,1.1,1,2019-01-22,0615,A,46,6.0NRT,295.3,9.9,D
12.467,106.441,335.3,1.1,1,2019-01-22,0615,A,85,6.0NRT,308.8,21.2,D
12.466,106.431,356.9,1.1,1,2019-01-22,0615,A,98,6.0NRT,310.1,68.2,D
12.475,106.43,330.3,1.1,1,2019-01-22,0615,A,80,6.0NRT,310.4,14.8,D
12.527,106.591,326.9,1.1,1,2019-01-22,0615,A,77,6.0NRT,308.8,9.3,D
12.591,106.966,329.1,1,1,2019-01-22,0615,A,80,6.0NRT,304.1,17.7,D
12.597,106.946,327.7,1,1,2019-01-22,0615,A,78,6.0NRT,304.9,15.5,D
12.501,106.309,328,1.1,1,2019-01-22,0615,A,77,6.0NRT,306.9,13.1,D
12.611,106.982,320.9,1,1,2019-01-22,0615,A,65,6.0NRT,303.4,8.9,D
12.709,107.517,324.4,1,1,2019-01-22,0615,A,62,6.0NRT,295.6,16,D
12.698,107.444,326.8,1,1,2019-01-22,0615,A,76,6.0NRT,300.2,16.8,D
12.697,107.435,331.5,1,1,2019-01-22,0615,A,78,6.0NRT,299.6,22.9,D
12.508,106.165,327.5,1.1,1,2019-01-22,0615,A,76,6.0NRT,297.1,19.3,D
12.506,106.155,327.1,1.1,1,2019-01-22,0615,A,63,6.0NRT,293.4,20.5,D
12.186,103.96,317.5,1.5,1.2,2019-01-22,0615,A,61,6.0NRT,300.9,13.1,D
12.184,103.947,315.8,1.5,1.2,2019-01-22,0615,A,32,6.0NRT,299.4,9.4,D
12.197,103.959,343.1,1.5,1.2,2019-01-22,0615,A,91,6.0NRT,300.6,72.5,D
12.195,103.945,335.2,1.5,1.2,2019-01-22,0615,A,86,6.0NRT,299.8,48.7,D
12.708,107.263,341.8,1,1,2019-01-22,0615,A,90,6.0NRT,299.6,38.5,D
12.707,107.254,332.3,1,1,2019-01-22,0615,A,83,6.0NRT,298.3,24.1,D
12.199,103.902,319.7,1.5,1.2,2019-01-22,0615,A,41,6.0NRT,300.7,14.5,D
12.235,104.062,321.2,1.5,1.2,2019-01-22,0615,A,63,6.0NRT,300.7,12.6,D
12.233,104.049,347.2,1.5,1.2,2019-01-22,0615,A,93,6.0NRT,303.7,79.5,D
12.606,106.387,335.8,1.1,1,2019-01-22,0615,A,85,6.0NRT,303.5,26.2,D
12.239,104.055,341.5,1.5,1.2,2019-01-22,0615,A,90,6.0NRT,300.9,61.4,D
12.237,104.042,328.7,1.5,1.2,2019-01-22,0615,A,78,6.0NRT,301,29.1,D
12.594,106.186,324.3,1.1,1,2019-01-22,0615,A,45,6.0NRT,295.8,16.4,D
12.593,106.176,325.7,1.1,1,2019-01-22,0615,A,63,6.0NRT,292.4,18.5,D
12.556,105.869,321.5,1.1,1.1,2019-01-22,0615,A,53,6.0NRT,300.8,10.7,D
12.689,106.691,331.7,1.1,1,2019-01-22,0615,A,81,6.0NRT,304.3,21.5,D
12.628,106.16,322.5,1.1,1,2019-01-22,0615,A,68,6.0NRT,297.8,11.7,D
12.716,106.687,324.9,1.1,1,2019-01-22,0615,A,50,6.0NRT,306.3,12.8,D
12.715,106.677,326.5,1.1,1,2019-01-22,0615,A,33,6.0NRT,304.1,13.1,D
12.714,106.668,328.9,1.1,1,2019-01-22,0615,A,44,6.0NRT,305.5,15.6,D
12.318,104.069,320.4,1.5,1.2,2019-01-22,0615,A,62,6.0NRT,303.5,10.3,D
12.316,104.056,330.8,1.5,1.2,2019-01-22,0615,A,82,6.0NRT,303.1,31.1,D
12.282,103.839,319,1.5,1.2,2019-01-22,0615,A,67,6.0NRT,303.1,11.4,D
12.279,103.825,319.7,1.5,1.2,2019-01-22,0615,A,68,6.0NRT,302.2,12.6,D
