latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
11.75287,105.60832,335.2,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,305.4,2.4,D
11.75219,105.60416,331.3,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,305.2,2.4,D
11.48544,103.99233,332.7,0.56,0.43,2019-01-22,0600,N,nominal,1.0NRT,295.4,5.7,D
12.05267,107.47271,332.9,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,300.3,2.3,D
11.75644,105.60772,331,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,305,2.4,D
12.0965,107.73354,330.6,0.39,0.36,2019-01-22,0600,N,nominal,1.0NRT,298.6,2.7,D
11.55122,104.33709,345.9,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,306.8,5.7,D
11.74136,105.44656,331,0.46,0.39,2019-01-22,0600,N,low,1.0NRT,304.9,3,D
11.75676,105.49599,338.9,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,304.9,3.6,D
11.56416,104.31987,336.7,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,304.8,3.8,D
11.77791,105.60415,336.7,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,303.7,1.1,D
11.76036,105.49538,342.5,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,306.5,3.6,D
11.79149,105.66573,333.2,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,304,1.6,D
11.57427,104.3332,335.6,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,302.7,4.6,D
11.77769,105.55713,338.2,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,306.8,3.4,D
11.57891,104.33739,338.4,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,303.4,9.2,D
11.57812,104.33257,336.1,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,303.9,4.6,D
11.79862,105.66454,333.5,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,303,3.1,D
11.77993,105.54817,334,0.46,0.39,2019-01-22,0600,N,low,1.0NRT,305.6,3.3,D
11.38286,103.13791,351.5,0.42,0.45,2019-01-22,0600,N,nominal,1.0NRT,300.7,9.2,D
11.60004,104.4179,340,0.52,0.42,2019-01-22,0600,N,nominal,1.0NRT,305.4,5.9,D
11.79779,105.61362,335.8,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,306.3,3.9,D
11.79712,105.60947,334.9,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,304.9,2.2,D
11.78778,105.55115,339.2,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,307.9,5.6,D
11.79671,105.58393,332.4,0.46,0.39,2019-01-22,0600,N,low,1.0NRT,302.8,1.5,D
11.7957,105.61035,330.5,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,305.3,1.4,D
11.79928,105.60976,337.4,0.45,0.39,2019-01-22,0600,N,nominal,1.0NRT,305.8,1.4,D
11.78963,105.55154,330.9,0.46,0.39,2019-01-22,0600,N,low,1.0NRT,305.7,3,D
11.78894,105.54736,336.6,0.46,0.39,2019-01-22,0600,N,nominal,1.0NRT,306.5,3,D
11.59898,104.42,336.3,0.52,0.42,2019-01-22,0600,N,nominal,1.0NRT,305.1,5.4,D
11.79873,105.58426,334.7,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,306.5,1.7,D
11.38447,103.13763,351.2,0.42,0.45,2019-01-22,0600,N,nominal,1.0NRT,299.1,10.6,D
11.94221,106.33018,336.2,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,299.8,4.1,D
11.76634,105.25449,341.3,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,304.3,7.5,D
11.76563,105.25018,335.5,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,302.7,3.5,D
11.54938,103.96725,331.3,0.56,0.43,2019-01-22,0600,N,nominal,1.0NRT,294.5,7.8,D
11.94629,106.33346,334.7,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,298.2,4.1,D
11.94913,106.32902,349.2,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,299.7,7.4,D
11.94351,106.29413,330,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,298.7,2.8,D
11.53511,103.83661,330.1,0.57,0.43,2019-01-22,0600,N,nominal,1.0NRT,301.1,3.3,D
11.94635,106.28967,333.2,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,299.5,2.8,D
11.57973,104.05067,335.8,0.55,0.43,2019-01-22,0600,N,nominal,1.0NRT,285.4,8.8,D
11.67183,104.57315,348.5,0.51,0.41,2019-01-22,0600,N,nominal,1.0NRT,305.5,6.1,D
11.97225,106.38467,332.2,0.42,0.38,2019-01-22,0600,N,nominal,1.0NRT,299.7,2.4,D
11.875,105.73685,331.8,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,305.6,4.2,D
11.85627,105.62157,337.2,0.45,0.39,2019-01-22,0600,N,low,1.0NRT,308,3.8,D
11.65787,104.41979,332.7,0.52,0.42,2019-01-22,0600,N,low,1.0NRT,307.2,3.1,D
11.65706,104.41501,333.6,0.52,0.42,2019-01-22,0600,N,low,1.0NRT,305.5,3.1,D
10.74348,99.25851,335.5,0.39,0.59,2019-01-22,0600,N,nominal,1.0NRT,295.3,4.8,D
11.62563,104.18031,334.2,0.54,0.42,2019-01-22,0600,N,nominal,1.0NRT,301.7,4.1,D
11.56634,103.80429,340.4,0.57,0.43,2019-01-22,0600,N,nominal,1.0NRT,302.2,6.2,D
12.0831,106.95102,341.2,0.4,0.37,2019-01-22,0600,N,nominal,1.0NRT,300.5,8.5,D
11.69128,104.52635,334,0.52,0.41,2019-01-22,0600,N,nominal,1.0NRT,303.6,3.6,D
11.66755,104.38366,337.2,0.53,0.42,2019-01-22,0600,N,nominal,1.0NRT,305.2,5.3,D
11.57031,103.80365,331.9,0.57,0.43,2019-01-22,0600,N,nominal,1.0NRT,301.6,6.7,D
11.69273,104.51156,333.9,0.52,0.41,2019-01-22,0600,N,low,1.0NRT,305.7,2.5,D
11.63477,104.16347,332.6,0.54,0.42,2019-01-22,0600,N,nominal,1.0NRT,298.5,3,D
11.8222,105.27608,340.9,0.47,0.4,2019-01-22,0600,N,nominal,1.0NRT,304.6,3.6,D
11.69652,104.51091,334,0.52,0.41,2019-01-22,0600,N,low,1.0NRT,306.3,4.7,D
11.94018,105.98376,334,0.44,0.38,2019-01-22,0600,N,low,1.0NRT,308.6,3.4,D
12.04007,106.58932,335.4,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,299.5,3.3,D
12.04769,106.61532,336.2,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,305.6,2.2,D
12.05111,106.61477,340.5,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,302.1,6.9,D
12.04393,106.5692,333,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,299.2,1.8,D
12.05361,106.56373,334.7,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,300.5,18.7,D
12.06063,106.58601,332.5,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,300.7,2.3,D
12.06004,106.58221,340.3,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,303.4,5.1,D
12.06261,106.5815,338.3,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,301.9,3,D
11.9848,106.05794,336.1,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,303.7,6,D
11.98415,106.05396,337.7,0.43,0.38,2019-01-22,0600,N,nominal,1.0NRT,304.6,5.3,D
12.08156,106.59006,334.4,0.41,0.37,2019-01-22,0600,N,nominal,1.0NRT,301.5,3.4,D
